Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Avg. volume,Age (mo),Winning months,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
EDUCare,0.0932,0.0512,- 21.43,- 91.78,N/A,33.77 MM,1.94 MM,185898,12,42.00,0.1903,-73.07,0.00002402,-73.07
SysCoin,0.0020,0.0594,- 22.18,1961.65,N/A,32.86 MM,980.51 K,297646,54,25.00,0.9200,-93.54,0.00009450,-92.06
Unobtanium,5.10,163.94,12.98,1260.67,N/A,32.85 MM,11.85 K,12944,62,50.00,379.22,-56.77,0.0668,-69.03
Groestlcoin,0.0043,0.4376,- 28.77,4325.58,N/A,31.75 MM,10.76 MM,645707,58,33.00,2.27,-80.73,0.0002,-69.91
Ecoreal Estate,0.0666,0.1511,- 4.38,4.04,N/A,31.62 MM,31.72 K,1436,4,8.00,0.1511,0.00,0.00002459,-22.42
Obyte,19.22,45.87,- 13.65,55.77,N/A,31.15 MM,183.69 K,21526,25,17.00,1058.49,-95.67,0.3655,-98.42
CyberMiles,0.3689,0.0389,- 36.99,- 93.78,N/A,31.10 MM,10.99 MM,2636590,14,33.00,0.5839,-93.34,0.00005933,-91.72
RIF Token,0.2082,0.0709,- 5.55,- 54.67,N/A,31.01 MM,280.43 K,252642,1,0.00,0.1466,-51.62,0.00004093,-78.13
TenX,25.22,0.2682,- 24.95,- 99.05,N/A,30.67 MM,2.19 MM,1695700,19,33.00,68.42,-99.61,0.0264,-99.87
Mainframe,0.0210,0.0040,- 32.03,- 86.00,N/A,30.20 MM,12.44 MM,1651349,7,8.00,0.0206,-80.81,0.00000316,-84.20
Lambda,0.0067,0.0599,N/A,86.70,N/A,29.93 MM,27.89 MM,1336487,1,8.00,0.0599,0.00,0.00000756,0.00
Linkey,0.7775,0.5975,8.86,1.06,N/A,29.87 MM,543.21 K,626735,6,17.00,1.10,-45.55,0.0003,-70.82
UTRUST,0.2047,0.0658,- 17.56,- 89.72,N/A,29.61 MM,809.38 K,280537,13,25.00,1.40,-95.29,0.00009682,-91.42
Gas,1.78,2.86,- 28.15,6.95,N/A,28.98 MM,3.22 MM,912101,19,25.00,85.68,-96.66,0.0086,-95.79
Fusion,2.95,0.9365,- 35.48,- 89.81,N/A,28.71 MM,1.48 MM,239664,12,17.00,9.37,-90.01,0.0011,-88.88
C20,3.86,0.6947,- 19.61,- 90.77,N/A,28.08 MM,27.04 K,58893,12,33.00,3.56,-80.49,0.0003,-73.14
Cortex,0.8173,0.1866,- 30.47,- 87.26,N/A,27.95 MM,8.85 MM,2276784,10,25.00,2.39,-92.20,0.0003,-90.73
Civic,0.1612,0.0813,- 31.26,- 71.19,N/A,27.85 MM,5.97 MM,428939,19,25.00,1.37,-94.05,0.0002,-94.39
Skycoin,0.8315,1.83,- 33.02,10.52,N/A,27.41 MM,23.89 MM,514114,22,42.00,47.15,-96.12,0.0046,-94.95
Gemini Dollar,1.03,0.9993,- 0.21,- 2.92,N/A,27.03 MM,34.69 MM,94637470,4,17.00,1.19,-16.10,0.0003,-59.37
