Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Age (mo),Winning months,Avg. volume,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
Aave,0.0152,0.0144,56.14,- 10.91,17359510,16.25 MM,450.31 K,1257072,24,58.00,0.3696,-96.10,0.00002360,-91.82
Ultiledger,0.0062,0.0258,- 8.08,307.43,17683647,16.21 MM,2.83 MM,6041957,11,50.00,0.0370,-30.20,0.00000383,-9.50
Storj,0.5221,0.1191,- 6.85,- 76.37,18233133,16.18 MM,3.35 MM,2954897,29,42.00,3.04,-96.08,0.0006,-97.28
Power Ledger,0.0563,0.0381,- 8.36,- 27.84,18716139,16.09 MM,1.03 MM,17156139,25,33.00,1.90,-97.99,0.0001,-95.79
Metal,1.22,0.2952,- 11.62,- 74.56,17476127,15.79 MM,14.39 MM,9478034,29,42.00,13.86,-97.87,0.0030,-98.68
Celer Network,0.0238,0.0044,- 5.25,- 79.83,14588166,15.58 MM,6.25 MM,5408414,8,8.00,0.0251,-82.30,0.00000481,-87.52
MOAC,15.02,0.2493,- 12.00,- 98.29,19218023,15.57 MM,7.40 K,16326,23,33.00,18.29,-98.64,0.0017,-98.07
Telos,0.0892,0.0665,- 3.51,- 22.14,19640868,15.37 MM,192.43 K,199883,2,17.00,0.1368,-51.41,0.00001633,-45.31
Santiment Network Token,0.2616,0.2403,- 21.03,- 6.70,17149271,15.06 MM,715.42,3118,29,58.00,7.65,-96.86,0.0005,-93.44
Vitae,0.1613,0.8117,- 30.87,383.57,14927466,14.97 MM,27.75 K,31845,16,25.00,3.60,-77.43,0.0006,-80.96
Gnosis,51.64,13.46,- 0.06,- 73.07,16449554,14.87 MM,75.55 K,61974,31,50.00,392.91,-96.57,0.1320,-98.63
GreenPower,0.1760,0.0046,- 21.57,- 97.94,11943417,14.70 MM,42.71 K,28293,18,17.00,0.2072,-97.80,0.00003338,-98.17
Robotina,0.0182,0.0477,- 0.11,168.64,16588142,14.48 MM,126.83 K,119834,14,58.00,0.0925,-48.46,0.00001729,-62.98
Cindicator,0.0200,0.0079,6.67,- 60.75,14346594,14.46 MM,88.70 K,286720,26,50.00,0.3319,-97.62,0.00002982,-96.44
Spectre.ai Dividend Token,2.07,0.1757,- 4.78,- 90.41,16657915,14.42 MM,0.00,52,23,50.00,2.63,-93.31,0.0004,-93.96
Orbs,0.0457,0.0073,- 17.65,- 84.35,18602720,14.33 MM,1.94 MM,8148743,8,17.00,0.0476,-84.67,0.00000907,-89.19
MicroBitcoin,0.0006,0.00007560,33.79,- 79.02,18454116,14.27 MM,26.55 K,6966,13,33.00,0.0009,-91.79,0.00000016,-93.93
Credits,0.2806,0.0761,- 6.74,- 72.93,14284556,14.16 MM,378.33 K,4059376,21,33.00,0.9010,-91.55,0.0001,-89.95
Groestlcoin,0.0043,0.1901,- 1.80,4707.82,15959225,14.05 MM,689.34 K,1809906,68,33.00,2.27,-91.63,0.0002,-86.32
Elrond,0.0067,0.0022,2.30,- 67.11,13681832,14.01 MM,4.46 MM,5589716,5,8.00,0.0074,-70.42,0.00000065,-55.34
Arcblock,1.14,0.1420,- 7.33,- 87.71,17002663,14.00 MM,8.08 MM,11988444,21,50.00,1.65,-91.40,0.0002,-88.59
Dentacoin,0.0003,0.00002563,- 5.83,- 92.41,16556355,13.85 MM,274.89 K,166914,28,42.00,0.0071,-99.64,0.00000044,-100.00
Matrix AI Network,1.09,0.0708,6.93,- 92.98,18102218,13.82 MM,842.32 K,827770,22,42.00,1.72,-95.88,0.0002,-94.83
Dent,0.0006,0.0002,- 26.70,- 71.94,15874335,13.69 MM,190.45 K,315060,28,33.00,0.1055,-99.83,0.00000697,-99.71
Atlas Protocol,0.0137,0.0053,- 45.03,- 59.95,18335672,13.53 MM,71.94 K,584629,12,42.00,0.0354,-85.16,0.00000696,-89.80
Streamr DATAcoin,0.0725,0.0196,26.62,- 70.42,10249178,13.27 MM,3.37 MM,3561777,25,42.00,0.3592,-94.54,0.00002228,-88.20
Bhotspot,0.0624,0.0268,- 21.40,- 56.58,19037640,13.26 MM,1.34 MM,1231740,3,0.00,0.0616,-56.52,0.00000617,-41.61
Cocos-BCX,0.0023,0.0008,- 16.93,- 66.72,14975653,13.23 MM,2.60 MM,3572897,3,8.00,0.0017,-55.97,0.00000017,-40.97
BABB,0.0005,0.0004,105.41,- 5.89,6066306,13.14 MM,430.84 K,193187,21,17.00,0.0030,-86.84,0.00000033,-84.81
MX Token,0.1874,0.0609,- 4.55,- 64.15,27975204,13.07 MM,5.24 MM,10831806,2,0.00,0.2197,-72.28,0.00002381,-65.69
Nexus,0.0044,0.2014,- 1.50,4798.22,16081653,13.03 MM,170.15 K,164832,58,33.00,13.33,-98.49,0.0009,-96.99
Libra Credit,0.3195,0.0203,9.82,- 91.93,13728018,12.99 MM,1.11 MM,13497066,18,42.00,0.2411,-91.56,0.00003148,-91.33
sUSD,0.9990,0.9987,- 0.93,- 1.27,9384970,12.97 MM,1.73 K,4729,17,33.00,1.77,-43.48,0.0003,-56.63
ODEM,0.0576,0.0591,- 19.55,11.93,26684481,12.95 MM,214.09 K,453705,20,50.00,0.5450,-89.16,0.00008634,-90.82
Obyte,19.22,17.66,- 7.88,- 9.65,14596011,12.89 MM,18.03 K,4754,35,42.00,1058.49,-98.33,0.3655,-99.35
Wirex Token,0.0259,0.0097,- 18.04,- 63.24,12988736,12.66 MM,1.17 MM,2509781,5,0.00,0.0335,-70.93,0.00000356,-63.18
MediBloc [ERC20],0.0133,0.0037,- 3.40,- 70.78,14348007,12.60 MM,117.04 K,361009,18,50.00,0.0153,-75.96,0.00000232,-78.89
BQT,0.8927,0.0321,- 26.22,- 96.08,18812674,12.58 MM,216.72 K,687991,7,8.00,1.64,-98.04,0.0002,-97.86
PIVX,0.0012,0.2212,- 13.06,19026.18,13021108,12.56 MM,252.29 K,3741978,46,42.00,13.80,-98.40,0.0017,-98.28
SysCoin,0.0020,0.0217,- 4.64,1004.29,13575382,12.44 MM,372.82 K,1117039,63,50.00,0.9200,-97.64,0.00009450,-96.91
Safex Token,0.0002,0.0076,- 4.53,2580.33,6304673,12.40 MM,3.03 K,1685,46,42.00,0.1094,-93.09,0.00000801,-87.39
Eidoo,2.09,0.2315,- 8.86,- 88.55,14373720,12.03 MM,174.69 K,233883,26,42.00,6.91,-96.65,0.0005,-93.23
PAX Gold,1514.23,1494.29,30.07,- 2.81,4448956,11.93 MM,582.47 K,5028905,2,8.00,1570.95,-4.88,0.2284,-12.14
Cortex,0.8173,0.0796,1.24,- 88.86,16270539,11.93 MM,2.42 MM,8446743,20,33.00,2.39,-96.67,0.0003,-95.79
BitKan,0.0093,0.0019,- 14.26,- 79.49,15155602,11.60 MM,356.04 K,2996403,16,33.00,0.0076,-75.05,0.00000149,-82.58
CyberMiles,0.3689,0.0144,- 18.24,- 96.24,14147372,11.55 MM,3.87 MM,6887276,24,42.00,0.5839,-97.53,0.00005933,-96.73
