Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap
MSD,1599,,MSD,0.0028,0.00000035,-0.13,0.04,-15.71,-46.59,-30.32,-37.37,-56.72,-40.66
CyberMusic,1411,,CYMT,0.00000264,0.0000,-0.23,38.81,47.69,40.83,-22.58,-32.39,-82.49,
TCOIN,1617,,TCN,0.0184,0.00000233,-6.16,19.87,9.26,9.14,-49.26,-59.31,-91.06,
FansTime,496,,FTI,0.0014,0.00000018,2.08,7.95,22.04,181.91,169.73,95.08,-2.38,-84.61
NewYorkCoin,620,,NYC,0.00001730,0.0000,0.17,19.49,52.26,71.08,31.66,27.40,24.99,-72.94
Thingschain,1439,,TIC,0.00000266,0.0000,0.42,11.85,46.24,-55.42,-85.51,-94.64,-98.52,
Mooncoin,525,,MOON,0.00001595,0.0000,8.58,0.01,35.54,70.39,24.21,29.91,8.63,-65.30
Beetle Coin,431,,BEET,0.0293,0.00000370,0.02,-14.40,-13.08,878.51,"1,499","2,652","1,738",
BriaCoin,1379,,BRIA,0.0659,0.00000832,-0.09,-17.36,6.66,-48.12,-52.93,-56.37,-78.27,-91.72
BitcoiNote,1197,,BTCN,0.0154,0.00000195,-0.12,-1.80,-10.86,208.58,98.04,78.98,27.02,
Eroscoin,881,,ERO,0.0042,0.00000053,-16.73,-19.23,-26.82,22.54,-40.64,-30.65,-70.33,-86.19
Almeela,1618,,KZE,0.1827,0.00002307,-0.23,151.85,86.75,-6.70,-0.10,,,
Deutsche eMark,1269,,DEM,0.0025,0.00000032,2.01,-17.44,21.96,-8.81,-60.12,-49.74,-76.42,-82.99
AICHAIN,767,,AIT,0.0023,0.00000029,-1.46,-2.51,36.30,167.98,94.38,69.62,14.45,-88.70
CryptalDash,1637,,CRD,0.0032,0.00000040,-11.22,8.01,2.99,-36.95,-41.57,-56.97,-62.71,
Target Coin,958,,TGT,0.0006,0.00000007,-0.13,15.03,-28.11,64.12,-24.60,-18.57,-52.93,-85.05
ZeusNetwork,1340,,ZEUS,0.00000090,0.0000,0.78,-10.90,47.39,21.53,-36.87,-10.95,-67.10,
